"time","Room 1 - Actual","Room 1 - Set"
2024-02-01 17:11:00,19.9 °C,20 °C
2024-02-01 17:16:00,19.9 °C,20 °C
2024-02-01 17:22:00,19.9 °C,20 °C
2024-02-01 17:28:00,19.9 °C,20 °C
2024-02-01 17:29:00,19.9 °C,20 °C
2024-02-01 17:31:00,19.9 °C,20 °C
2024-02-01 17:32:00,19.9 °C,20 °C
2024-02-01 17:34:00,20.0 °C,20 °C
2024-02-01 17:37:00,20.0 °C,20 °C
2024-02-01 17:41:00,20.0 °C,20 °C
2024-02-01 17:43:00,20.0 °C,20 °C
2024-02-01 17:49:00,20.0 °C,20 °C
2024-02-01 17:59:00,20.0 °C,20 °C
2024-02-01 18:00:00,20.0 °C,20 °C
2024-02-01 18:05:00,20 °C,20 °C
2024-02-01 18:11:00,20 °C,20 °C
2024-02-01 18:19:00,20 °C,20 °C
2024-02-01 18:39:00,20 °C,20 °C
2024-02-01 18:40:00,20 °C,20 °C
2024-02-01 18:41:00,20 °C,20 °C
2024-02-01 19:01:00,20.0 °C,20 °C
2024-02-01 19:15:00,20.0 °C,20 °C
2024-02-01 19:22:00,20.0 °C,20 °C
2024-02-01 19:23:00,20.0 °C,20 °C
2024-02-01 19:27:00,20.0 °C,20 °C
2024-02-01 19:29:00,20.0 °C,20 °C
2024-02-01 19:30:00,20.0 °C,20 °C
2024-02-01 19:32:00,20.0 °C,20 °C
2024-02-01 19:41:00,20.0 °C,20 °C
2024-02-01 19:44:00,20.0 °C,20 °C
2024-02-01 19:45:00,20.1 °C,20 °C
2024-02-01 19:49:00,20.1 °C,20 °C
2024-02-01 19:50:00,20.1 °C,20 °C
2024-02-01 19:51:00,20.1 °C,20 °C
2024-02-01 19:52:00,20.1 °C,20 °C
2024-02-01 19:53:00,20.1 °C,20 °C
2024-02-01 19:54:00,20.1 °C,20 °C
2024-02-01 19:59:00,20.1 °C,20 °C
2024-02-01 20:00:00,20.1 °C,20 °C
2024-02-01 20:01:00,20.1 °C,20 °C
2024-02-01 20:03:00,20.1 °C,20 °C
2024-02-01 20:04:00,20.1 °C,20 °C
2024-02-01 20:06:00,20.1 °C,20 °C
2024-02-01 20:07:00,20.0 °C,20 °C
2024-02-01 20:08:00,20.0 °C,20 °C
2024-02-01 20:09:00,20.0 °C,20 °C
2024-02-01 20:10:00,20.0 °C,20 °C
2024-02-01 20:14:00,20.0 °C,20 °C
2024-02-01 20:17:00,20.0 °C,20 °C
2024-02-01 20:24:00,20.0 °C,20 °C
2024-02-01 20:28:00,20.0 °C,20 °C
2024-02-01 20:38:00,20.0 °C,20 °C
2024-02-01 20:40:00,20.0 °C,20 °C
2024-02-01 20:41:00,20.0 °C,20 °C
